"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"LIT_MM_LACAZE_CLUSTER1_24R_24C_MOCK_TRANSFECTION_DN_Entrez","LIT_MM_LACAZE_CLUSTER1_24R_24C_MOCK_TRANSFECTION_DN_Entrez","LIT_MM_LACAZE_CLUSTER1_24R_24C_MOCK_TRANSFECTION_DN_Entrez","3/19","260/27982",0.000688254548398153,0.0346045913474297,0.0204609838731224,"Nhp2/Slc1a5/Sf3a1",3
"LIT_MM_LIEDTKE_SODIUM-DEPLETION_UP_Entrez","LIT_MM_LIEDTKE_SODIUM-DEPLETION_UP_Entrez","LIT_MM_LIEDTKE_SODIUM-DEPLETION_UP_Entrez","2/19","58/27982",0.000705846790036484,0.0346045913474297,0.0204609838731224,"Ccm2/Tm9sf1",2
"LIT_MM_BARCO_HIPPOCAMPUS_VP16-CREB-MICE_UP_Entrez","LIT_MM_BARCO_HIPPOCAMPUS_VP16-CREB-MICE_UP_Entrez","LIT_MM_BARCO_HIPPOCAMPUS_VP16-CREB-MICE_UP_Entrez","2/19","59/27982",0.000730317807667471,0.0349091912065051,0.0206410875114438,"S100a6/Dhrs1",2
"MSIGDB_MM_MARSON_FOXP3_TARGETS_UP_Entrez","MSIGDB_MM_MARSON_FOXP3_TARGETS_UP_Entrez","MSIGDB_MM_MARSON_FOXP3_TARGETS_UP_Entrez","2/19","62/27982",0.000806169394501984,0.0375950215192145,0.0222291637919161,"S100a4/S100a6",2
"MPO_MM_ABNORMAL_CARDIOVASCULAR_SYSTEM_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_CARDIOVASCULAR_SYSTEM_MORPHOLOGY_Entrez","MPO_MM_ABNORMAL_CARDIOVASCULAR_SYSTEM_MORPHOLOGY_Entrez","2/19","64/27982",0.000858764187078662,0.0390942172784381,0.0231156074416662,"Ccm2/Rarg",2
"LIT_MM_AIDINIS_SUBTRACTIVE-LIBRARIES_WHOLE-JOINT_RHEUMATOID-ARTHRITIS_UP_Entrez","LIT_MM_AIDINIS_SUBTRACTIVE-LIBRARIES_WHOLE-JOINT_RHEUMATOID-ARTHRITIS_UP_Entrez","LIT_MM_AIDINIS_SUBTRACTIVE-LIBRARIES_WHOLE-JOINT_RHEUMATOID-ARTHRITIS_UP_Entrez","2/19","66/27982",0.000912975934855998,0.0396729542601061,0.0234578027281182,"S100a4/Sf3a1",2
"REACTOME_MM_ARR3_PATHWAY_Entrez","REACTOME_MM_ARR3_PATHWAY_Entrez","REACTOME_MM_ARR3_PATHWAY_Entrez","2/19","66/27982",0.000912975934855998,0.0396729542601061,0.0234578027281182,"Wnt9a/Rarg",2
"LIT_MM_PRIDANS_PAX5_PRO-B-CELL_DN_Entrez","LIT_MM_PRIDANS_PAX5_PRO-B-CELL_DN_Entrez","LIT_MM_PRIDANS_PAX5_PRO-B-CELL_DN_Entrez","2/19","67/27982",0.000940686910404564,0.0399687416154117,0.0236326957140234,"Slc1a5/Tm9sf1",2
"LIT_MM_BLOMBERG_ITK-ANTI-CD3_ITK-ANTI-CD3_CD28_CSA-ANTI-CD3-ANTI-CD3_CSA-ANTI-CD3_CD28-ANTI-CD3_CD28_CD3-T-CELL_UP_Entrez","LIT_MM_BLOMBERG_ITK-ANTI-CD3_ITK-ANTI-CD3_CD28_CSA-ANTI-CD3-ANTI-CD3_CSA-ANTI-CD3_CD28-ANTI-CD3_CD28_CD3-T-CELL_UP_Entrez","LIT_MM_BLOMBERG_ITK-ANTI-CD3_ITK-ANTI-CD3_CD28_CSA-ANTI-CD3-ANTI-CD3_CSA-ANTI-CD3_CD28-ANTI-CD3_CD28_CD3-T-CELL_UP_Entrez","2/19","71/27982",0.0010555531187857,0.0438742948503971,0.0259419690978454,"S100a4/S100a6",2
"LIT_MM_OUYANG_FOXO1-DE_CD8_T-CELL_DIFF_Entrez","LIT_MM_OUYANG_FOXO1-DE_CD8_T-CELL_DIFF_Entrez","LIT_MM_OUYANG_FOXO1-DE_CD8_T-CELL_DIFF_Entrez","3/19","309/27982",0.00113338320980832,0.0459921696157712,0.0271942249324699,"Abhd15/S100a4/S100a6",3
"LIT_MM_OLIVER_6H_DN_Entrez","LIT_MM_OLIVER_6H_DN_Entrez","LIT_MM_OLIVER_6H_DN_Entrez","3/19","311/27982",0.0011546151367976,0.0459921696157712,0.0271942249324699,"Fbxo9/Sf3a1/Dhrs1",3
"LIT_MM_BONOW_HIPPOCAMPUS_LPS_UP_Entrez","LIT_MM_BONOW_HIPPOCAMPUS_LPS_UP_Entrez","LIT_MM_BONOW_HIPPOCAMPUS_LPS_UP_Entrez","2/19","78/27982",0.0012719778439275,0.0496330946446811,0.0293470290951264,"S100a6/Dhrs1",2
